matrix	kernel	threads	sched	part	ms	gflops	gbs	check
ecology2	csr-seq	-	-	-	2.2796	4.38	29.8	base
ecology2	ell-seq	-	-	-	1.9186	5.21	33.4	PASS
ecology2	csr-omp	1	static	row	2.5101	3.98	27.1	PASS
ecology2	csr-omp	1	dynamic,16	row	2.7009	3.70	25.2	PASS
ecology2	csr-omp	1	dynamic,64	row	2.6541	3.76	25.6	PASS
ecology2	csr-omp	1	dynamic,256	row	2.5931	3.85	26.2	PASS
ecology2	csr-omp	1	guided	row	2.5207	3.96	27.0	PASS
ecology2	csr-omp	1	any	nnz	2.5343	3.94	26.8	PASS
ecology2	csr-omp	2	static	row	1.2255	8.15	55.4	PASS
ecology2	csr-omp	2	dynamic,16	row	9.2804	1.08	7.3	PASS
ecology2	csr-omp	2	dynamic,64	row	3.2802	3.05	20.7	PASS
ecology2	csr-omp	2	dynamic,256	row	2.2808	4.38	29.8	PASS
ecology2	csr-omp	2	guided	row	1.1840	8.44	57.4	PASS
ecology2	csr-omp	2	any	nnz	1.4733	6.78	46.1	PASS
ecology2	csr-omp	4	static	row	0.6225	16.05	109.2	PASS
ecology2	csr-omp	4	dynamic,16	row	5.2101	1.92	13.0	PASS
ecology2	csr-omp	4	dynamic,64	row	2.0760	4.81	32.7	PASS
ecology2	csr-omp	4	dynamic,256	row	1.0975	9.10	61.9	PASS
ecology2	csr-omp	4	guided	row	0.6204	16.11	109.5	PASS
ecology2	csr-omp	4	any	nnz	0.9820	10.17	69.2	PASS
ecology2	csr-omp	8	static	row	0.3232	30.92	210.3	PASS
ecology2	csr-omp	8	dynamic,16	row	2.5291	3.95	26.9	PASS
ecology2	csr-omp	8	dynamic,64	row	1.0673	9.36	63.7	PASS
ecology2	csr-omp	8	dynamic,256	row	0.5912	16.90	114.9	PASS
ecology2	csr-omp	8	guided	row	0.3385	29.52	200.7	PASS
ecology2	csr-omp	8	any	nnz	0.7420	13.47	91.6	PASS
ecology2	csr-omp	16	static	row	0.2103	47.51	323.1	PASS
ecology2	csr-omp	16	dynamic,16	row	1.6877	5.92	40.3	PASS
ecology2	csr-omp	16	dynamic,64	row	0.6524	15.32	104.2	PASS
ecology2	csr-omp	16	dynamic,256	row	0.3643	27.43	186.5	PASS
ecology2	csr-omp	16	guided	row	0.2477	40.34	274.4	PASS
ecology2	csr-omp	16	any	nnz	0.6646	15.03	102.2	PASS
ecology2	ell-omp	1	static	row	2.0513	4.87	31.2	PASS
ecology2	ell-omp	1	dynamic,16	row	2.1575	4.63	29.7	PASS
ecology2	ell-omp	1	dynamic,64	row	2.0796	4.80	30.8	PASS
ecology2	ell-omp	1	dynamic,256	row	2.0970	4.76	30.5	PASS
ecology2	ell-omp	1	guided	row	2.0261	4.93	31.6	PASS
ecology2	ell-omp	1	any	nnz	2.2874	4.37	28.0	PASS
ecology2	ell-omp	2	static	row	0.9850	10.14	65.0	PASS
ecology2	ell-omp	2	dynamic,16	row	9.2565	1.08	6.9	PASS
ecology2	ell-omp	2	dynamic,64	row	3.1091	3.21	20.6	PASS
ecology2	ell-omp	2	dynamic,256	row	2.0249	4.93	31.6	PASS
ecology2	ell-omp	2	guided	row	0.9881	10.11	64.8	PASS
ecology2	ell-omp	2	any	nnz	1.3787	7.25	46.4	PASS
ecology2	ell-omp	4	static	row	0.5097	19.60	125.6	PASS
ecology2	ell-omp	4	dynamic,16	row	5.4305	1.84	11.8	PASS
ecology2	ell-omp	4	dynamic,64	row	1.8091	5.52	35.4	PASS
ecology2	ell-omp	4	dynamic,256	row	0.9623	10.38	66.5	PASS
ecology2	ell-omp	4	guided	row	0.5014	19.93	127.6	PASS
ecology2	ell-omp	4	any	nnz	0.9336	10.70	68.6	PASS
ecology2	ell-omp	8	static	row	0.2618	38.17	244.5	PASS
ecology2	ell-omp	8	dynamic,16	row	2.5324	3.95	25.3	PASS
ecology2	ell-omp	8	dynamic,64	row	0.9144	10.93	70.0	PASS
ecology2	ell-omp	8	dynamic,256	row	0.5147	19.41	124.4	PASS
ecology2	ell-omp	8	guided	row	0.2658	37.59	240.7	PASS
ecology2	ell-omp	8	any	nnz	0.7146	13.98	89.6	PASS
ecology2	ell-omp	16	static	row	0.1681	59.43	380.7	PASS
ecology2	ell-omp	16	dynamic,16	row	1.7072	5.85	37.5	PASS
ecology2	ell-omp	16	dynamic,64	row	0.5531	18.07	115.7	PASS
ecology2	ell-omp	16	dynamic,256	row	0.3116	32.06	205.4	PASS
ecology2	ell-omp	16	guided	row	0.2158	46.31	296.6	PASS
ecology2	ell-omp	16	any	nnz	0.6222	16.06	102.9	PASS
atmosmodd	csr-seq	-	-	-	3.5380	4.98	32.8	base
atmosmodd	ell-seq	-	-	-	3.1856	5.53	35.1	PASS
atmosmodd	csr-omp	1	static	row	3.5904	4.91	32.3	PASS
atmosmodd	csr-omp	1	dynamic,16	row	4.0422	4.36	28.7	PASS
atmosmodd	csr-omp	1	dynamic,64	row	3.8859	4.54	29.8	PASS
atmosmodd	csr-omp	1	dynamic,256	row	3.9483	4.47	29.4	PASS
atmosmodd	csr-omp	1	guided	row	3.5810	4.92	32.4	PASS
atmosmodd	csr-omp	1	any	nnz	3.8631	4.56	30.0	PASS
atmosmodd	csr-omp	2	static	row	1.8621	9.47	62.3	PASS
atmosmodd	csr-omp	2	dynamic,16	row	12.8604	1.37	9.0	PASS
atmosmodd	csr-omp	2	dynamic,64	row	5.7332	3.08	20.2	PASS
atmosmodd	csr-omp	2	dynamic,256	row	3.3328	5.29	34.8	PASS
atmosmodd	csr-omp	2	guided	row	1.8928	9.31	61.3	PASS
atmosmodd	csr-omp	2	any	nnz	2.2903	7.70	50.6	PASS
atmosmodd	csr-omp	4	static	row	0.9904	17.80	117.1	PASS
atmosmodd	csr-omp	4	dynamic,16	row	9.5953	1.84	12.1	PASS
atmosmodd	csr-omp	4	dynamic,64	row	3.5859	4.92	32.3	PASS
atmosmodd	csr-omp	4	dynamic,256	row	1.6502	10.68	70.3	PASS
atmosmodd	csr-omp	4	guided	row	0.9772	18.04	118.6	PASS
atmosmodd	csr-omp	4	any	nnz	1.4708	11.99	78.8	PASS
atmosmodd	csr-omp	8	static	row	0.5318	33.15	218.0	PASS
atmosmodd	csr-omp	8	dynamic,16	row	6.0325	2.92	19.2	PASS
atmosmodd	csr-omp	8	dynamic,64	row	2.1040	8.38	55.1	PASS
atmosmodd	csr-omp	8	dynamic,256	row	0.9117	19.34	127.2	PASS
atmosmodd	csr-omp	8	guided	row	0.5340	33.02	217.1	PASS
atmosmodd	csr-omp	8	any	nnz	1.1160	15.80	103.9	PASS
atmosmodd	csr-omp	16	static	row	0.3688	47.81	314.4	PASS
atmosmodd	csr-omp	16	dynamic,16	row	3.2735	5.39	35.4	PASS
atmosmodd	csr-omp	16	dynamic,64	row	1.2926	13.64	89.7	PASS
atmosmodd	csr-omp	16	dynamic,256	row	0.6001	29.38	193.2	PASS
atmosmodd	csr-omp	16	guided	row	0.4376	40.29	265.0	PASS
atmosmodd	csr-omp	16	any	nnz	0.9379	18.80	123.6	PASS
atmosmodd	ell-omp	1	static	row	3.1140	5.66	35.9	PASS
atmosmodd	ell-omp	1	dynamic,16	row	3.4061	5.18	32.8	PASS
atmosmodd	ell-omp	1	dynamic,64	row	3.2019	5.51	34.9	PASS
atmosmodd	ell-omp	1	dynamic,256	row	3.2009	5.51	34.9	PASS
atmosmodd	ell-omp	1	guided	row	3.0856	5.71	36.2	PASS
atmosmodd	ell-omp	1	any	nnz	3.4960	5.04	32.0	PASS
atmosmodd	ell-omp	2	static	row	1.5993	11.02	69.9	PASS
atmosmodd	ell-omp	2	dynamic,16	row	12.7976	1.38	8.7	PASS
atmosmodd	ell-omp	2	dynamic,64	row	4.6745	3.77	23.9	PASS
atmosmodd	ell-omp	2	dynamic,256	row	2.9550	5.97	37.8	PASS
atmosmodd	ell-omp	2	guided	row	1.6941	10.41	66.0	PASS
atmosmodd	ell-omp	2	any	nnz	2.1501	8.20	52.0	PASS
atmosmodd	ell-omp	4	static	row	0.8558	20.60	130.6	PASS
atmosmodd	ell-omp	4	dynamic,16	row	8.8306	2.00	12.7	PASS
atmosmodd	ell-omp	4	dynamic,64	row	2.8001	6.30	39.9	PASS
atmosmodd	ell-omp	4	dynamic,256	row	1.4360	12.28	77.9	PASS
atmosmodd	ell-omp	4	guided	row	0.8411	20.96	132.9	PASS
atmosmodd	ell-omp	4	any	nnz	1.4260	12.36	78.4	PASS
atmosmodd	ell-omp	8	static	row	0.4560	38.66	245.2	PASS
atmosmodd	ell-omp	8	dynamic,16	row	5.1971	3.39	21.5	PASS
atmosmodd	ell-omp	8	dynamic,64	row	1.7651	9.99	63.3	PASS
atmosmodd	ell-omp	8	dynamic,256	row	0.8112	21.73	137.8	PASS
atmosmodd	ell-omp	8	guided	row	0.4739	37.20	235.9	PASS
atmosmodd	ell-omp	8	any	nnz	1.0248	17.20	109.1	PASS
atmosmodd	ell-omp	16	static	row	0.3088	57.10	362.1	PASS
atmosmodd	ell-omp	16	dynamic,16	row	2.7753	6.35	40.3	PASS
atmosmodd	ell-omp	16	dynamic,64	row	1.1149	15.81	100.3	PASS
atmosmodd	ell-omp	16	dynamic,256	row	0.5078	34.72	220.2	PASS
atmosmodd	ell-omp	16	guided	row	0.3908	45.11	286.1	PASS
atmosmodd	ell-omp	16	any	nnz	0.9103	19.37	122.8	PASS
lp_wood1p	csr-seq	-	-	-	0.0327	4.30	25.8	base
lp_wood1p	ell-seq	-	-	-	0.3016	0.47	25.2	PASS
lp_wood1p	csr-omp	1	static	row	0.0325	4.32	26.0	PASS
lp_wood1p	csr-omp	1	dynamic,16	row	0.0329	4.27	25.7	PASS
lp_wood1p	csr-omp	1	dynamic,64	row	0.0327	4.30	25.8	PASS
lp_wood1p	csr-omp	1	dynamic,256	row	0.0327	4.29	25.8	PASS
lp_wood1p	csr-omp	1	guided	row	0.0327	4.30	25.9	PASS
lp_wood1p	csr-omp	1	any	nnz	0.0324	4.33	26.0	PASS
lp_wood1p	csr-omp	2	static	row	0.0226	6.22	37.4	PASS
lp_wood1p	csr-omp	2	dynamic,16	row	0.0195	7.20	43.3	PASS
lp_wood1p	csr-omp	2	dynamic,64	row	0.0212	6.63	39.8	PASS
lp_wood1p	csr-omp	2	dynamic,256	row	0.0336	4.18	25.1	PASS
lp_wood1p	csr-omp	2	guided	row	0.0183	7.65	46.0	PASS
lp_wood1p	csr-omp	2	any	nnz	0.0182	7.73	46.5	PASS
lp_wood1p	csr-omp	4	static	row	0.0168	8.36	50.3	PASS
lp_wood1p	csr-omp	4	dynamic,16	row	0.0120	11.67	70.2	PASS
lp_wood1p	csr-omp	4	dynamic,64	row	0.0158	8.87	53.4	PASS
lp_wood1p	csr-omp	4	dynamic,256	row	0.0338	4.16	25.0	PASS
lp_wood1p	csr-omp	4	guided	row	0.0105	13.41	80.7	PASS
lp_wood1p	csr-omp	4	any	nnz	0.0108	13.00	78.2	PASS
lp_wood1p	csr-omp	8	static	row	0.0118	11.92	71.7	PASS
lp_wood1p	csr-omp	8	dynamic,16	row	0.0085	16.48	99.1	PASS
